Hbb_bk1,Hbb_bk2,Hbb_bk3,HbO_bk1,HbO_bk2,HOb_bk3,label,User,trial,time
4.64E-05,-2.41E-05,-6.67E-05,1.26E-04,7.79E-05,1.55E-04,baseline,8,1,-10
4.22E-05,-1.88E-05,-7.33E-05,1.05E-04,9.73E-05,1.40E-04,baseline,8,1,-9.9
3.97E-05,-1.38E-05,-6.67E-05,1.01E-04,1.22E-04,1.31E-04,baseline,8,1,-9.8
4.07E-05,-9.71E-06,-5.47E-05,1.18E-04,1.47E-04,1.29E-04,baseline,8,1,-9.7
4.19E-05,-7.96E-06,-4.72E-05,1.47E-04,1.70E-04,1.35E-04,baseline,8,1,-9.6
3.98E-05,-8.61E-06,-4.90E-05,1.73E-04,1.86E-04,1.44E-04,baseline,8,1,-9.5
3.83E-05,-7.09E-06,-6.25E-05,1.72E-04,1.74E-04,1.41E-04,baseline,8,1,-9.4
3.15E-05,-5.29E-06,-7.73E-05,1.62E-04,1.52E-04,1.36E-04,baseline,8,1,-9.3
2.26E-05,-4.49E-06,-8.19E-05,1.47E-04,1.23E-04,1.21E-04,baseline,8,1,-9.2
1.58E-05,-5.78E-06,-7.16E-05,1.36E-04,9.85E-05,9.72E-05,baseline,8,1,-9.1
1.18E-05,-8.67E-06,-5.31E-05,1.34E-04,9.05E-05,7.66E-05,baseline,8,1,-9
7.93E-06,-1.10E-05,-3.82E-05,1.42E-04,9.67E-05,7.10E-05,baseline,8,1,-8.9
9.12E-07,-1.06E-05,-3.45E-05,1.48E-04,9.67E-05,7.73E-05,baseline,8,1,-8.8
-8.64E-06,-6.81E-06,-3.85E-05,1.36E-04,6.81E-05,7.72E-05,baseline,8,1,-8.7
-1.63E-05,-1.72E-06,-3.99E-05,9.99E-05,9.72E-06,5.24E-05,baseline,8,1,-8.6
-1.78E-05,1.98E-06,-3.04E-05,4.64E-05,-5.15E-05,2.98E-06,baseline,8,1,-8.5
-1.28E-05,3.44E-06,-1.08E-05,-3.02E-06,-7.93E-05,-4.96E-05,baseline,8,1,-8.4
-5.28E-06,4.68E-06,1.05E-05,-2.82E-05,-5.84E-05,-7.78E-05,baseline,8,1,-8.3
2.15E-07,8.73E-06,2.49E-05,-2.40E-05,-8.68E-06,-7.07E-05,baseline,8,1,-8.2
1.50E-06,1.65E-05,3.01E-05,-3.74E-06,3.22E-05,-4.27E-05,baseline,8,1,-8.1
-4.18E-07,2.54E-05,3.06E-05,1.07E-05,3.99E-05,-2.15E-05,baseline,8,1,-8
-3.32E-06,3.13E-05,3.26E-05,6.19E-06,2.10E-05,-2.46E-05,baseline,8,1,-7.9
-5.84E-06,3.18E-05,3.81E-05,-1.27E-05,2.73E-06,-4.60E-05,baseline,8,1,-7.8
-7.83E-06,2.80E-05,4.44E-05,-3.07E-05,6.42E-06,-6.41E-05,baseline,8,1,-7.7
-9.45E-06,2.29E-05,4.70E-05,-3.66E-05,3.06E-05,-6.16E-05,baseline,8,1,-7.6
-1.06E-05,1.89E-05,4.46E-05,-3.30E-05,5.76E-05,-3.95E-05,baseline,8,1,-7.5
-1.12E-05,1.65E-05,4.06E-05,-3.05E-05,7.24E-05,-1.28E-05,baseline,8,1,-7.4
-1.20E-05,1.43E-05,3.94E-05,-3.41E-05,7.35E-05,3.67E-06,baseline,8,1,-7.3
