Hbb_bk1,Hbb_bk2,Hbb_bk3,HbO_bk1,HbO_bk2,HOb_bk3,label,User,trial,time
-3.86E-05,-3.33E-05,6.69E-05,2.72E-04,2.18E-04,8.71E-05,baseline,10,1,-10
-2.73E-05,-2.23E-05,9.64E-05,3.79E-04,3.17E-04,1.39E-04,baseline,10,1,-9.9
-1.96E-05,-1.57E-05,1.08E-04,4.35E-04,3.60E-04,1.71E-04,baseline,10,1,-9.8
-1.53E-05,-9.85E-06,1.03E-04,4.43E-04,3.51E-04,1.92E-04,baseline,10,1,-9.7
-1.28E-05,-3.09E-06,9.49E-05,4.26E-04,3.24E-04,2.11E-04,baseline,10,1,-9.6
-8.98E-06,4.91E-06,9.31E-05,4.11E-04,3.14E-04,2.33E-04,baseline,10,1,-9.5
9.31E-06,2.23E-05,1.08E-04,4.29E-04,3.64E-04,3.16E-04,baseline,10,1,-9.4
3.23E-05,4.56E-05,1.32E-04,4.87E-04,4.42E-04,4.19E-04,baseline,10,1,-9.3
5.68E-05,6.44E-05,1.51E-04,5.40E-04,5.11E-04,5.18E-04,baseline,10,1,-9.2
7.87E-05,7.33E-05,1.53E-04,5.47E-04,5.35E-04,5.90E-04,baseline,10,1,-9.1
9.51E-05,7.48E-05,1.37E-04,4.95E-04,5.08E-04,6.25E-04,baseline,10,1,-9
1.06E-04,7.62E-05,1.14E-04,4.13E-04,4.59E-04,6.30E-04,baseline,10,1,-8.9
1.13E-04,8.22E-05,9.58E-05,3.45E-04,4.31E-04,6.27E-04,baseline,10,1,-8.8
1.19E-04,9.18E-05,8.69E-05,3.19E-04,4.52E-04,6.45E-04,baseline,10,1,-8.7
1.25E-04,9.98E-05,8.34E-05,3.39E-04,5.16E-04,6.91E-04,baseline,10,1,-8.6
1.31E-04,1.01E-04,7.79E-05,3.79E-04,5.88E-04,7.40E-04,baseline,10,1,-8.5
1.33E-04,9.33E-05,6.61E-05,4.06E-04,6.31E-04,7.46E-04,baseline,10,1,-8.4
1.28E-04,8.02E-05,4.82E-05,4.01E-04,6.25E-04,6.80E-04,baseline,10,1,-8.3
1.14E-04,6.74E-05,2.79E-05,3.71E-04,5.79E-04,5.59E-04,baseline,10,1,-8.2
9.46E-05,6.01E-05,1.01E-05,3.42E-04,5.15E-04,4.41E-04,baseline,10,1,-8.1
7.48E-05,6.03E-05,-1.05E-06,3.38E-04,4.57E-04,3.79E-04,baseline,10,1,-8
6.11E-05,6.56E-05,-3.25E-06,3.63E-04,4.12E-04,3.84E-04,baseline,10,1,-7.9
5.61E-05,7.00E-05,7.69E-07,3.92E-04,3.80E-04,4.09E-04,baseline,10,1,-7.8
5.58E-05,6.64E-05,2.73E-06,3.93E-04,3.45E-04,3.96E-04,baseline,10,1,-7.7
5.21E-05,5.17E-05,-6.48E-06,3.43E-04,2.92E-04,3.19E-04,baseline,10,1,-7.6
