Hbb_bk1,Hbb_bk2,Hbb_bk3,HbO_bk1,HbO_bk2,HOb_bk3,label,User,trial,time
1.84E-05,6.98E-06,1.13E-05,-1.06E-04,-7.99E-05,-1.34E-04,baseline,7,1,-10
1.47E-05,1.25E-05,1.74E-05,-1.15E-04,-1.09E-04,-1.70E-04,baseline,7,1,-9.9
1.04E-05,1.38E-05,2.12E-05,-1.36E-04,-1.49E-04,-1.97E-04,baseline,7,1,-9.8
6.73E-06,1.35E-05,2.13E-05,-1.56E-04,-1.83E-04,-2.13E-04,baseline,7,1,-9.7
4.46E-06,1.34E-05,1.96E-05,-1.66E-04,-2.02E-04,-2.19E-04,baseline,7,1,-9.6
3.42E-06,1.42E-05,1.92E-05,-1.64E-04,-2.06E-04,-2.23E-04,baseline,7,1,-9.5
1.81E-06,1.92E-05,2.38E-05,-1.46E-04,-2.02E-04,-2.36E-04,baseline,7,1,-9.4
-5.94E-09,2.29E-05,2.58E-05,-1.37E-04,-2.14E-04,-2.54E-04,baseline,7,1,-9.3
-2.65E-06,2.35E-05,2.32E-05,-1.48E-04,-2.47E-04,-2.70E-04,baseline,7,1,-9.2
-5.75E-06,1.99E-05,1.57E-05,-1.76E-04,-2.88E-04,-2.77E-04,baseline,7,1,-9.1
-8.14E-06,1.30E-05,5.88E-06,-2.04E-04,-3.14E-04,-2.73E-04,baseline,7,1,-9
-8.72E-06,5.08E-06,-2.32E-06,-2.14E-04,-3.10E-04,-2.57E-04,baseline,7,1,-8.9
-7.56E-06,-1.38E-06,-6.30E-06,-2.01E-04,-2.77E-04,-2.33E-04,baseline,7,1,-8.8
-6.03E-06,-4.94E-06,-6.91E-06,-1.75E-04,-2.34E-04,-2.07E-04,baseline,7,1,-8.7
-5.63E-06,-6.16E-06,-7.23E-06,-1.54E-04,-2.00E-04,-1.85E-04,baseline,7,1,-8.6
-6.53E-06,-7.14E-06,-9.12E-06,-1.48E-04,-1.84E-04,-1.77E-04,baseline,7,1,-8.5
-7.11E-06,-9.60E-06,-1.11E-05,-1.58E-04,-1.81E-04,-1.84E-04,baseline,7,1,-8.4
-5.44E-06,-1.29E-05,-1.00E-05,-1.70E-04,-1.78E-04,-1.98E-04,baseline,7,1,-8.3
-1.25E-06,-1.43E-05,-4.13E-06,-1.71E-04,-1.60E-04,-2.01E-04,baseline,7,1,-8.2
3.41E-06,-1.06E-05,4.45E-06,-1.50E-04,-1.26E-04,-1.81E-04,baseline,7,1,-8.1
5.94E-06,-1.66E-06,1.15E-05,-1.10E-04,-8.34E-05,-1.39E-04,baseline,7,1,-8
5.71E-06,9.36E-06,1.40E-05,-6.42E-05,-4.68E-05,-9.38E-05,baseline,7,1,-7.9
4.83E-06,1.80E-05,1.22E-05,-2.94E-05,-2.95E-05,-6.34E-05,baseline,7,1,-7.8
6.21E-06,2.17E-05,8.54E-06,-1.58E-05,-3.34E-05,-5.14E-05,baseline,7,1,-7.7
1.06E-05,2.16E-05,5.11E-06,-2.00E-05,-4.57E-05,-4.34E-05,baseline,7,1,-7.6
1.55E-05,2.03E-05,2.39E-06,-2.56E-05,-4.55E-05,-1.95E-05,baseline,7,1,-7.5
1.77E-05,1.98E-05,-2.83E-07,-1.27E-05,-1.73E-05,3.01E-05,baseline,7,1,-7.4
1.57E-05,2.02E-05,-3.33E-06,2.83E-05,3.72E-05,9.78E-05,baseline,7,1,-7.3
1.13E-05,2.03E-05,-6.17E-06,8.85E-05,9.94E-05,1.65E-04,baseline,7,1,-7.2
8.11E-06,1.96E-05,-7.62E-06,1.45E-04,1.46E-04,2.15E-04,baseline,7,1,-7.1
7.81E-06,1.80E-05,-6.69E-06,1.77E-04,1.67E-04,2.40E-04,baseline,7,1,-7
9.45E-06,1.51E-05,-3.03E-06,1.80E-04,1.69E-04,2.43E-04,baseline,7,1,-6.9
1.05E-05,1.08E-05,2.97E-06,1.68E-04,1.72E-04,2.35E-04,baseline,7,1,-6.8
9.44E-06,5.33E-06,1.02E-05,1.61E-04,1.87E-04,2.29E-04,baseline,7,1,-6.7
6.56E-06,8.50E-07,1.71E-05,1.72E-04,2.14E-04,2.33E-04,baseline,7,1,-6.6
3.34E-06,-4.35E-07,2.19E-05,1.98E-04,2.43E-04,2.50E-04,baseline,7,1,-6.5
8.17E-07,1.39E-06,2.36E-05,2.24E-04,2.66E-04,2.71E-04,baseline,7,1,-6.4
-9.73E-07,3.08E-06,2.25E-05,2.33E-04,2.81E-04,2.81E-04,baseline,7,1,-6.3
-2.42E-06,6.57E-07,2.00E-05,2.20E-04,2.86E-04,2.69E-04,baseline,7,1,-6.2
-3.68E-06,-6.86E-06,1.71E-05,1.89E-04,2.80E-04,2.32E-04,baseline,7,1,-6.1
-4.70E-06,-1.62E-05,1.35E-05,1.53E-04,2.61E-04,1.84E-04,baseline,7,1,-6
-5.58E-06,-2.29E-05,8.30E-06,1.24E-04,2.33E-04,1.46E-04,baseline,7,1,-5.9
-6.84E-06,-2.48E-05,1.51E-07,1.10E-04,2.08E-04,1.32E-04,baseline,7,1,-5.8
-9.03E-06,-2.42E-05,-1.08E-05,1.13E-04,1.95E-04,1.41E-04,baseline,7,1,-5.7
-1.22E-05,-2.45E-05,-2.30E-05,1.27E-04,1.95E-04,1.59E-04,baseline,7,1,-5.6
-1.58E-05,-2.69E-05,-3.44E-05,1.40E-04,1.93E-04,1.69E-04,baseline,7,1,-5.5
